,market_cap
LMT,155446099968.0
L,22662289408.0
LOW,141298073600.0
LULU,20175575040.0
LYB,21620828160.0
MTB,32345763840.0
MPC,66517311488.0
MKTX,6917989376.0
MAR,85802000384.0
MMC,89819709440.0
MLM,36789743616.0
MAS,12961627136.0
MA,466155929600.0
MTCH,7193058816.0
MKC,17408219136.0
MCD,234105061376.0
MCK,113461182464.0
MDT,116705140736.0
MRK,286278254592.0
META,1631209127936.0
MET,47328186368.0
MTD,24711268352.0
MGM,9728623616.0
MCHP,35014172672.0
MU,416776060928.0
MSFT,3039545262080.0
MAA,15937931264.0
MRNA,20742217728.0
MHK,6637760000.0
MOH,7440205312.0
TAP,9208036352.0
MDLZ,75356938240.0
MPWR,50255572992.0
MNST,73967050752.0
MCO,83680280576.0
MS,254486364160.0
MOS,8353563136.0
MSI,76741877760.0
MSCI,42772426752.0
NDAQ,50493128704.0
NTAP,20015978496.0
NFLX,420031889408.0
NEM,126902976512.0
NWSA,14112111616.0
NWS,15306772480.0
NEE,189642162176.0
NKE,84396654592.0
NI,22232651776.0
NDSN,15219997696.0
NSC,68009394176.0
NTRS,25753874432.0
NOC,107914919936.0
NCLH,9127912448.0
NRG,33129039872.0
NUE,38619897856.0
NVDA,4323494854656.0
NVR,19759124480.0
NXPI,50978254848.0
ORLY,79852240896.0
OXY,53445787648.0
ODFL,40558821376.0
OMC,26719291392.0
ON,22883258368.0
OKE,54747090944.0
ORCL,439620993024.0
OTIS,34770448384.0
PCAR,63333466112.0
PKG,20021696512.0
PLTR,375875764224.0
PANW,134680805376.0
PSKY,13226973184.0
PH,116588724224.0
PAYX,36201869312.0
PAYC,7577593344.0
PYPL,43947573248.0
PNR,15082872832.0
PEP,217995034624.0
PFE,153813532672.0
PCG,39959056384.0
PM,264604385280.0
PSX,66507481088.0
PNW,12385548288.0
PNC,83337175040.0
POOL,7973365760.0
PPG,23846885376.0
PPL,28962877440.0
PFG,20268953600.0
PG,358992379904.0
PGR,123390550016.0
PLD,125062856704.0
PRU,33797761024.0
PEG,41604485120.0
PTC,19361857536.0
PSA,54078803968.0
PHM,24587196416.0
PWR,80822919168.0
QCOM,144885661696.0
DGX,22160590848.0
RL,20518373376.0
RJF,30025299968.0
RTX,281558253568.0
O,60825374720.0
REG,14689342464.0
REGN,80332251136.0
RF,23710740480.0
RSG,71524663296.0
RMD,36910493696.0
RVTY,10355729408.0
ROK,41581162496.0
ROL,28038053888.0
ROP,39556755456.0
ROST,68866662400.0
RCL,75836014592.0
SPGI,136974606336.0
CRM,189377069056.0
SBAC,20769464320.0
SLB,70131048448.0
STX,79036153856.0
SRE,60513710080.0
NOW,131196477440.0
SHW,81735942144.0
SPG,63310647296.0
SWKS,8238218752.0
SJM,11865476096.0
SW,22464272384.0
SNA,19354093568.0
SOLV,12042149888.0
SO,109118259200.0
LUV,21492965376.0
SWK,11798446080.0
SBUX,112779304960.0
STT,33807978496.0
STLD,26514466816.0
STE,22623866880.0
SYK,139512987648.0
SMCI,18754359296.0
SYF,24012607488.0
SNPS,83791151104.0
SYY,40819261440.0
TMUS,247827513344.0
TROW,19728623616.0
TTWO,39164608512.0
TPR,29500262400.0
TRGP,50986565632.0
TGT,54886871040.0
TEL,60424282112.0
TDY,30407337984.0
TER,42747600896.0
TSLA,1488702275584.0
TXN,175555067904.0
TPL,36196384768.0
TXT,16538464256.0
TMO,186473955328.0
TJX,177324539904.0
TKO,15995982848.0
TTD,13936608256.0
TSCO,26401781760.0
TT,93824425984.0
TDG,73106726912.0
TRV,68326555648.0
TRMB,16673501184.0
TFC,58073841664.0
TYL,16101878784.0
TSN,21628211200.0
USB,81367048192.0
UBER,156107390976.0
UDR,14024217600.0
ULTA,28980830208.0
UNP,150786703360.0
UAL,29806555136.0
UPS,86914048000.0
URI,51514966016.0
UNH,260030988288.0
UHS,11768340480.0
VLO,68514291712.0
VTR,40310300672.0
VLTO,23421888512.0
VRSN,22598406144.0
VRSK,29942804480.0
VZ,215608016896.0
VRTX,116014874624.0
VTRS,16309060608.0
VICI,31711633408.0
V,611882631168.0
VST,53754662912.0
VMC,36334678016.0
WRB,26571079680.0
GWW,52912427008.0
WAB,41829801984.0
WBA,
WMT,987039006720.0
DIS,180069711872.0
WBD,69344354304.0
WM,99240771584.0
WAT,29679740928.0
WEC,37686763520.0
WFC,252445179904.0
WELL,142543863808.0
WST,17707202560.0
WDC,83850805248.0
WY,17661093888.0
WSM,22266890240.0
WMB,90688847872.0
WTW,29006086144.0
WDAY,40327680000.0
WYNN,10565055488.0
XEL,51482312704.0
XYL,29983215616.0
YUM,44424454144.0
ZBRA,11127521280.0
ZBH,18650865664.0
ZTS,53513375744.0
